gr:category,gr:category,gr:category,gr:category,variations,gr:hasBusinessFunction,gr:hasUnitOfMeasurement,eco:http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#,pto:http://www.productontology.org/id/,base_price,duration,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Kesimi,Erkek Saç Kesimi,Standart-Kesim Özel-Kesim Salon-Dışı-Uygulama,ProvideService,C62,C_AKG498003-gen,Haircutting,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Damat Paketi,Salonda-Uygulama Salon-Dışı-Uygulama,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Damat Saçı,Salonda-Uygulama Salon-Dışı-Uygulama,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Defrize,Kısa-Saç-İçin Uzun-Saç-İçin,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Doğal Dalga,Kısa-Saç-İçin Uzun-Saç-İçin,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Fön,Düz-Fön Burgu-Fön Dalgalı-Fön Erkekler-İçin-Fön,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Gelin Paketi,Salonda-Uygulama Salon-Dışı-Uygulama Tesettür,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Gelin Saçı,Salonda-Uygulama Salon-Dışı-Uygulama Tesettür,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Maşa,Komple-Maşa Kısmi-Maşa,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Mizample,Kısa-Saç-İçin Uzun-Saç-İçin,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
